type,subtype,state,accepted,text
Cardboard,pet_bottle,clean,True,"1. Снимите крышку и выбросите её в контейнер для пластиковых крышек (контейнер синего цвета)
2. Смятую бутылку выбросите в контейнер для пластика (контейнер жёлтого цвета)"
Cardboard,pet_bottle,dirty,True,"1. Тщательно промойте или очистите упаковку.
2. Снимите крышку и выбросите её в контейнер для пластиковых крышек (контейнер синего цвета)
3. Смятую бутылку выбросите в контейнер для пластика (контейнер жёлтого цвета)"
Cardboard,pet_bottle,heavily_dirty,True,"1. Тщательно промойте или очистите упаковку.
2. Снимите крышку и выбросите её в контейнер для пластиковых крышек (контейнер синего цвета)
3. Смятую бутылку выбросите в контейнер для пластика (контейнер жёлтого цвета)"
Cardboard,pet_bottle,food_contaminated,True,"1. Тщательно промойте или очистите упаковку.
2. Снимите крышку и выбросите её в контейнер для пластиковых крышек (контейнер синего цвета)
3. Смятую бутылку выбросите в контейнер для пластика (контейнер жёлтого цвета)"
Cardboard,pet_bottle,with_labels,True,"1. Удалите все наклейки и термоусадочную плёнку, если они есть.
2. Снимите крышку и выбросите её в контейнер для пластиковых крышек (контейнер синего цвета)
3. Смятую бутылку выбросите в контейнер для пластика (контейнер жёлтого цвета)"
Cardboard,pet_bottle,no_labels,True,"1. Снимите крышку и выбросите её в контейнер для пластиковых крышек (контейнер синего цвета)
2. Смятую бутылку выбросите в контейнер для пластика (контейнер жёлтого цвета)"
Cardboard,pet_bottle,compressed,True,"1. Снимите крышку и выбросите её в контейнер для пластиковых крышек (контейнер синего цвета)
2. Смятую бутылку выбросите в контейнер для пластика (контейнер жёлтого цвета)"
Cardboard,pet_bottle,damaged,True,"1. Снимите крышку и выбросите её в контейнер для пластиковых крышек (контейнер синего цвета)
2. Смятую бутылку выбросите в контейнер для пластика (контейнер жёлтого цвета)"
Cardboard,pet_bottle,unknown,True,"1. Снимите крышку и выбросите её в контейнер для пластиковых крышек (контейнер синего цвета)
2. Смятую бутылку выбросите в контейнер для пластика (контейнер жёлтого цвета)"
Cardboard,pet_bottle_white,clean,True,
Cardboard,pet_bottle_white,dirty,True,1. Тщательно промойте или очистите упаковку.
Cardboard,pet_bottle_white,heavily_dirty,True,1. Тщательно промойте или очистите упаковку.
Cardboard,pet_bottle_white,food_contaminated,True,1. Тщательно промойте или очистите упаковку.
Cardboard,pet_bottle_white,with_labels,True,"1. Удалите все наклейки и термоусадочную плёнку, если они есть."
Cardboard,pet_bottle_white,no_labels,True,
Cardboard,pet_bottle_white,compressed,True,
Cardboard,pet_bottle_white,damaged,True,
Cardboard,pet_bottle_white,unknown,True,
Cardboard,pet_container,clean,False,
Cardboard,pet_container,dirty,False,
Cardboard,pet_container,heavily_dirty,False,
Cardboard,pet_container,food_contaminated,False,
Cardboard,pet_container,with_labels,False,
Cardboard,pet_container,no_labels,False,
Cardboard,pet_container,compressed,False,
Cardboard,pet_container,damaged,False,
Cardboard,pet_container,unknown,False,
Cardboard,hdpe_container,clean,True,1. Ёмкость выбросите в контейнер для пластика (контейнер жёлтого цвета)
Cardboard,hdpe_container,dirty,True,"1. Тщательно промойте или очистите упаковку.
2. Ёмкость выбросите в контейнер для пластика (контейнер жёлтого цвета)"
Cardboard,hdpe_container,heavily_dirty,True,"1. Тщательно промойте или очистите упаковку.
2. Ёмкость выбросите в контейнер для пластика (контейнер жёлтого цвета)"
Cardboard,hdpe_container,food_contaminated,True,"1. Тщательно промойте или очистите упаковку.
2. Ёмкость выбросите в контейнер для пластика (контейнер жёлтого цвета)"
Cardboard,hdpe_container,with_labels,True,"1. Удалите все наклейки и термоусадочную плёнку, если они есть.
2. Ёмкость выбросите в контейнер для пластика (контейнер жёлтого цвета)"
Cardboard,hdpe_container,no_labels,True,1. Ёмкость выбросите в контейнер для пластика (контейнер жёлтого цвета)
Cardboard,hdpe_container,compressed,True,1. Ёмкость выбросите в контейнер для пластика (контейнер жёлтого цвета)
Cardboard,hdpe_container,damaged,True,1. Ёмкость выбросите в контейнер для пластика (контейнер жёлтого цвета)
Cardboard,hdpe_container,unknown,True,1. Ёмкость выбросите в контейнер для пластика (контейнер жёлтого цвета)
Cardboard,hdpe_film,clean,True,1. Плёнку выбросите в контейнер для плёнки (контейнер жёлтого цвета)
Cardboard,hdpe_film,dirty,True,"1. Тщательно промойте или очистите упаковку.
2. Плёнку выбросите в контейнер для плёнки (контейнер жёлтого цвета)"
Cardboard,hdpe_film,heavily_dirty,True,"1. Тщательно промойте или очистите упаковку.
2. Плёнку выбросите в контейнер для плёнки (контейнер жёлтого цвета)"
Cardboard,hdpe_film,food_contaminated,True,"1. Тщательно промойте или очистите упаковку.
2. Плёнку выбросите в контейнер для плёнки (контейнер жёлтого цвета)"
Cardboard,hdpe_film,with_labels,True,"1. Удалите все наклейки и термоусадочную плёнку, если они есть.
2. Плёнку выбросите в контейнер для плёнки (контейнер жёлтого цвета)"
